ship,port,status,arrivalDate,arrivalTime,departureDate,departureTime,guestCount,crewCount
Celebrity Solstice,Akaroa,ON SCHEDULE,07/12/2019,08:00:00,07/12/2019,17:00:00,2850,1250
MS Maasdam,Auckland,ON SCHEDULE,07/12/2019,08:00:00,07/12/2019,17:00:00,1258,580
Ovation Of The Seas,Bay Of Islands,ON SCHEDULE,07/12/2019,09:30:00,07/12/2019,18:00:00,4180,1500
Caledonian Sky,Picton,ON SCHEDULE,07/12/2019,11:00:00,08/12/2019,05:30:00,114,74
Norwegian Jewel,Picton,ON SCHEDULE,07/12/2019,08:00:00,07/12/2019,18:00:00,2376,1100
Caledonian Sky,Toeroa Bay,ON SCHEDULE,07/12/2019,11:30:00,07/12/2019,12:30:00,114,74
Ovation Of The Seas,Auckland,ON SCHEDULE,08/12/2019,07:00:00,08/12/2019,20:00:00,4180,1500
Celebrity Solstice,Dunedin,ON SCHEDULE,08/12/2019,07:30:00,08/12/2019,17:00:00,2850,1250
Coral Discoverer,Fiordland,ON SCHEDULE,08/12/2019,23:00:00,10/12/2019,20:00:00,72,20
Caledonian Sky,Ships Cove,ON SCHEDULE,08/12/2019,,08/12/2019,12:30:00,114,74
Norwegian Jewel,Wellington,ON SCHEDULE,08/12/2019,08:00:00,08/12/2019,18:00:00,2376,1100
Celebrity Solstice,Fiordland,ON SCHEDULE,09/12/2019,08:00:00,09/12/2019,18:00:00,2850,1250
Caledonian Sky,Napier,ON SCHEDULE,09/12/2019,08:15:00,09/12/2019,20:00:00,114,74
Norwegian Jewel,Napier,ON SCHEDULE,09/12/2019,08:00:00,09/12/2019,16:00:00,2376,1100
Ovation Of The Seas,Tauranga,ON SCHEDULE,09/12/2019,07:30:00,11/12/2019,06:45:00,4180,1500
Golden Princess,Fiordland,ON SCHEDULE,10/12/2019,07:00:00,10/12/2019,16:00:00,2636,1073
Caledonian Sky,Gisborne,ON SCHEDULE,10/12/2019,07:00:00,10/12/2019,09:00:00,114,74
Norwegian Jewel,Tauranga,ON SCHEDULE,10/12/2019,09:00:00,10/12/2019,19:45:00,2376,1100
Caledonian Sky,Tolaga Bay,CANCELLED,10/12/2019,13:00:00,10/12/2019,15:30:00,114,74
Norwegian Jewel,Auckland,ON SCHEDULE,11/12/2019,07:00:00,11/12/2019,18:00:00,2376,1100
Golden Princess,Dunedin,ON SCHEDULE,11/12/2019,08:00:00,11/12/2019,18:00:00,2636,1073
Explorer Dream,Fiordland,ON SCHEDULE,11/12/2019,13:00:00,11/12/2019,14:00:00,1856,1300
Radiance Of The Seas,Picton,ON SCHEDULE,11/12/2019,09:00:00,11/12/2019,18:00:00,2064,858
Coral Discoverer,Stewart Island,ON SCHEDULE,11/12/2019,08:00:00,12/12/2019,16:00:00,72,20
Caledonian Sky,Tairua,ON SCHEDULE,11/12/2019,07:00:00,11/12/2019,08:00:00,114,74
Ovation Of The Seas,Wellington,ON SCHEDULE,12/12/2019,08:00:00,12/12/2019,22:00:00,4180,1500
Caledonian Sky,Whitianga,ON SCHEDULE,11/12/2019,09:30:00,11/12/2019,21:00:00,114,74
Golden Princess,Akaroa,ON SCHEDULE,12/12/2019,08:00:00,12/12/2019,18:00:00,2636,1073
Caledonian Sky,Auckland,ON SCHEDULE,12/12/2019,07:00:00,12/12/2019,19:00:00,114,74
Explorer Dream,Dunedin,ON SCHEDULE,12/12/2019,07:00:00,12/12/2019,15:00:00,1856,1300
Ovation Of The Seas,Dunedin,CANCELLED,12/12/2019,08:00:00,12/12/2019,17:00:00,4180,1500
Norwegian Jewel,Tauranga,ON SCHEDULE,12/12/2019,08:30:00,12/12/2019,15:45:00,2376,1100
Radiance Of The Seas,Wellington,ON SCHEDULE,12/12/2019,07:00:00,12/12/2019,13:00:00,2064,858
Spirit of Enderby,Bluff,ON SCHEDULE,13/12/2019,,13/12/2019,,50,
Coral Discoverer,Dunedin,ON SCHEDULE,13/12/2019,06:00:00,13/12/2019,16:00:00,72,20
Radiance Of The Seas,Dunedin,ON SCHEDULE,13/12/2019,08:00:00,13/12/2019,17:00:00,2064,858
Ovation Of The Seas,Picton,ON SCHEDULE,13/12/2019,07:00:00,13/12/2019,17:00:00,4180,1500
Ovation Of The Seas,Fiordland,CANCELLED,13/12/2019,08:00:00,13/12/2019,18:00:00,4180,1500
Silver Muse,Fiordland,ON SCHEDULE,13/12/2019,08:00:00,13/12/2019,17:00:00,623,417
Norwegian Jewel,Napier,ON SCHEDULE,13/12/2019,08:00:00,13/12/2019,16:00:00,2376,1100
Caledonian Sky,Tauranga,ON SCHEDULE,13/12/2019,07:00:00,13/12/2019,22:00:00,114,74
Explorer Dream,Wellington,ON SCHEDULE,13/12/2019,09:00:00,13/12/2019,17:00:00,1856,1300
Golden Princess,Wellington,ON SCHEDULE,13/12/2019,07:00:00,13/12/2019,16:00:00,2636,1073
Coral Discoverer,Akaroa,ON SCHEDULE,14/12/2019,09:00:00,14/12/2019,21:00:00,72,20
MS Noordam,Fiordland,ON SCHEDULE,14/12/2019,08:00:00,14/12/2019,,1972,820
Radiance Of The Seas,Fiordland,ON SCHEDULE,14/12/2019,08:00:00,14/12/2019,18:00:00,2064,858
Explorer Dream,Gisborne,ON SCHEDULE,14/12/2019,08:00:00,14/12/2019,19:00:00,1856,1300
Golden Princess,Napier,ON SCHEDULE,14/12/2019,07:00:00,14/12/2019,14:00:00,2636,1073
Norwegian Jewel,Picton,ON SCHEDULE,14/12/2019,08:00:00,14/12/2019,18:00:00,2376,1100
Norwegian Jewel,Akaroa,ON SCHEDULE,15/12/2019,08:00:00,15/12/2019,18:00:00,2376,1100
Explorer Dream,Auckland,ON SCHEDULE,15/12/2019,09:00:00,15/12/2019,19:00:00,1856,1300
MS Noordam,Dunedin,ON SCHEDULE,15/12/2019,09:00:00,15/12/2019,18:00:00,1972,820
Silver Muse,Dunedin,ON SCHEDULE,15/12/2019,08:00:00,15/12/2019,17:00:00,623,417
Coral Discoverer,Kaikoura,ON SCHEDULE,15/12/2019,08:00:00,15/12/2019,18:00:00,72,20
Caledonian Sky,Napier,ON SCHEDULE,15/12/2019,08:00:00,15/12/2019,18:00:00,114,74
Golden Princess,Tauranga,ON SCHEDULE,15/12/2019,06:45:00,15/12/2019,18:00:00,2636,1073
MS Noordam,Akaroa,ON SCHEDULE,16/12/2019,07:00:00,16/12/2019,18:00:00,1972,820
Golden Princess,Auckland,ON SCHEDULE,16/12/2019,07:00:00,16/12/2019,14:00:00,2636,1073
Explorer Dream,Bay Of Islands,ON SCHEDULE,16/12/2019,07:00:00,16/12/2019,17:00:00,1856,1300
Silver Muse,Lyttelton,ON SCHEDULE,16/12/2019,07:00:00,16/12/2019,18:00:00,623,417
Coral Discoverer,Ships Cove,ON SCHEDULE,16/12/2019,08:00:00,16/12/2019,03:00:00,72,20
Caledonian Sky,Wellington,ON SCHEDULE,16/12/2019,12:00:00,16/12/2019,18:00:00,114,74
Norwegian Jewel,Wellington,ON SCHEDULE,16/12/2019,08:00:00,16/12/2019,16:00:00,2376,1100
Caledonian Sky,Akaroa,ON SCHEDULE,17/12/2019,10:00:00,17/12/2019,18:00:00,114,74
Norwegian Jewel,Dunedin,ON SCHEDULE,17/12/2019,12:00:00,17/12/2019,20:00:00,2376,1100
Coral Discoverer,Golden Bay,ON SCHEDULE,17/12/2019,,17/12/2019,,72,20
MS Noordam,Picton,ON SCHEDULE,17/12/2019,10:00:00,17/12/2019,20:00:00,1972,820
